

=== CLUSTER STATISTICS ===
 Cluster_ID  Size  Avg_Correlation  Avg_Raw_Score  Avg_Risk_Adj_Score  Avg_Volatility
         19   EMXC     0.1265         11.3689      0.0111
         19   GGAL     0.3507         10.5098      0.0334
         19   LRCX     0.1778          5.4704      0.0325
         19   PLTR     0.3238          5.2491      0.0617
         19   ASML     0.0766          2.7613      0.0277
         19   SMCI     0.0968          1.2394      0.0781
         19   AMAT     0.0191          0.7235      0.0264
         19     AA     0.0122          0.3887      0.0313
         19   MPWR     0.0007          0.0186      0.0391
         19    SMH    -0.0006         -0.0210      0.0266
         19   LSCC    -0.0375         -1.2144      0.0309
         19   CIBR    -0.0260         -1.3650      0.0190
         19    EWT    -0.0478         -3.0780      0.0155
         19   ENTG    -0.1000         -3.3595      0.0298
         19   QCOM    -0.0772         -3.6238      0.0213
         19   UBER    -0.0989         -3.9121      0.0253
         19   SOXX    -0.1486         -5.9051      0.0252
         19    ASX    -0.1868         -6.8489      0.0273
         19   PSTG    -0.2786         -7.2931      0.0382
         19   DELL    -0.2812         -8.7919      0.0320
         19    CWB    -0.0820         -9.2190      0.0089
         19   HOOD    -0.7212        -10.1854      0.0708
         19    AMD    -0.2749        -10.8811      0.0253
         19    TSM    -0.3155        -11.0863      0.0285
         19   SOXL    -0.8495        -11.4969      0.0739
         19   SOFI    -0.5576        -11.6551      0.0478
         19   SPMO    -0.1738        -12.0724      0.0144
         19    XLK    -0.2538        -12.6753      0.0200
         19   MTUM    -0.2338        -12.6955      0.0184
         19   MBLY    -0.4631        -12.9368      0.0358
         19   SNPS    -0.3012        -13.1632      0.0229
         19    IYW    -0.2853        -13.7084      0.0208
         19   FNGA    -0.9643        -13.8337      0.0697
         19    IGV    -0.3509        -14.8787      0.0236
         19   CVNA    -0.8613        -15.1279      0.0569
         19    ARM    -0.6499        -15.6225      0.0416
         19    SYM    -0.7086        -15.7108      0.0451
         19    IVW    -0.3059        -17.4783      0.0175
         19   SPYG    -0.3078        -17.6528      0.0174
         19   QYLD    -0.2864        -17.9564      0.0159
         19    QLD    -0.6545        -19.7370      0.0332
         19   TQQQ    -0.9858        -19.9071      0.0495
         19   JEPQ    -0.3030        -19.9437      0.0152
         19   CGGR    -0.3697        -20.1006      0.0184
         19    QQQ    -0.3368        -20.1006      0.0168
